01:42:35:906299|0058-00001:PSH::VarName[negtimeout],VarValue[16],Type[3],Desc[]
01:42:35:906304|0063-00001:PSH::VarName[winnative.enable],VarValue[1],Type[3],Desc[]
01:42:35:906310|0063-00001:PSH::VarName[traces.broadcast],VarValue[1],Type[3],Desc[]
01:42:35:906316|0056-00001:PSH::VarName[ent_source],VarValue[],Type[3],Desc[]
01:42:35:906322|0072-00001:PSH::VarName[publish_exclude_originator],VarValue[],Type[3],Desc[]
01:42:35:906328|0053-00001:PSH::VarName[LISTEN],VarValue[0],Type[3],Desc[]
01:42:35:906334|0061-00001:PSH::VarName[publish_include],VarValue[],Type[3],Desc[]
01:42:35:906340|0061-00001:PSH::VarName[drecorderscript],VarValue[],Type[3],Desc[]
01:42:35:906345|0064-00001:PSH::VarName[resolve_hostnames],VarValue[0],Type[3],Desc[]
01:42:35:906351|0058-00001:PSH::VarName[statime_sub],VarValue[1],Type[3],Desc[]
01:42:35:906357|0060-00001:PSH::VarName[dtflowcontrol],VarValue[1],Type[3],Desc[]
01:42:35:906363|0075-00001:PSH::VarName[connection_failure_threshold],VarValue[5],Type[3],Desc[]
01:42:35:906369|0061-00001:PSH::VarName[drecorderextobj],VarValue[],Type[3],Desc[]
01:42:35:906375|0061-00001:PSH::VarName[log_threadname],VarValue[0],Type[3],Desc[]
01:42:35:906381|0067-00001:PSH::VarName[full_unicode_support],VarValue[1],Type[3],Desc[]
01:42:35:906386|0065-00001:PSH::VarName[memoryalert.amber],VarValue[45],Type[3],Desc[]
01:42:35:906393|0055-00001:PSH::VarName[logsdays],VarValue[2],Type[3],Desc[]
01:42:35:906399|0057-00001:PSH::VarName[dtblocking],VarValue[1],Type[3],Desc[]
01:42:35:906405|0090-00001:PSH::VarName[debug.eslib],VarValue[1],Type[3],Desc[Trace for ESLib queries on files]
01:42:35:906411|0056-00001:PSH::VarName[gctrace],VarValue[all],Type[3],Desc[]
01:42:35:906417|0061-00001:PSH::VarName[tcp_buffer],VarValue[65536],Type[3],Desc[]
